text,label
Do U know what Medications are R for bipolar depression? Currently #FDA approved lamotrigine AKA #Lamictal,0
@DoctorChristian Do you always get side-effects with Fluoxetine?,0
"NO, NOT ALWAYS @Soph831: @DoctorChristian Do you always get side-effects with Fluoxetine?",0
@DoctorChristian @Soph831 I'm on fluoxetine atm and I've had nothing yet! but I was put off reading up about some of the side effects! :\,0
I think my tablets have made me gain weight. Anyone on fluoxetine/prozac? #replytweet,1
@awakenings_ ziprasidone and olanzapine I.m. Both has less metabolic syndrome effect.and used in ER for acute agitation,0
Do you know what Medications are R for bipolar depression? Currently #FDA approved lamotrigine AKA #Lamictal,0
lawwwdddddddd that'll always be better than trazodone,0
"“@Mofos: @JayZito lol... blow, heroin, Zoloft , trazodone, Adderall, Nexium  Dilaudid ... shes a walking pharmacy” That's my girl.",0
#كيف_تتخلص_من_الاكتئاب جرب Venlafaxine,0
"@larryrobs takes years to recognise signs, and double dose of quetiapine, im allowed to up and down meds as an when :)",0
"@teacuptempest I'd forgotten about the quetiapine, I was going to ask if you were listening to @NightValeRadio before bed.",0
FLUOXETINE IS FOXY-TIME,0
"@YvonneNewbold my dx Feb07, invasive lobular CA rt side. Chemo/rads/Arimidex. Now stable on Tamoxifen/ibandronate. Morphine patches rock!",0
Medical professionals on my feed...any thing I need to know about this med: lamotrigine. It's being used to treat bipolar teen.,0
"@wildpursuits @modelbebegirl me I take pretty strong doses of: Fluoxetine, Lithium, and Seroquel",0
"Fluoxetine, do yo thang",0
TRAZODONE IS NASTY AS FUCK WHEN IT TOUCHES YOUR TONGUE,0
My mom has had me on trazodone for 3 nights now and the side effects are fucking weird...,0
ciprofloxacin: how do you expect to sleep when your stomach is a cement mixer?,1
"Someone up here who takes ""Fluoxetine"" antidepressiva? I already have 20 grams a day, but I'll probably get more. Any experiences?",0
"Compston - women on 5 years alendronate have reduced risk of vertebral fracture, if ALN continued for further 5 years ^CN #Rheum2013",0
Compston - data not clear on when to stop risedronate therapy in #osteoporosis ^CN #Rheum2013,0
"@pseudodeviant i clock in at 16 stone (added 1 stone since quetiapine) and according to that BMI thing I'm obese, which I'm clearly not.",1
