text,label
do u know what medications are r for bipolar depression? currently  fda  approved lamotrigine aka <allcaps> <hashtag> lamictal,0
<user> do you always get side-effects with fluoxetine?,0
<user> <user> i'm on fluoxetine atm and i've had nothing yet! but i was put off reading up about some of the side effects! :\,0
i think my tablets have made me gain weight. anyone on fluoxetine / prozac? <hashtag> replytweet,1
<user> ziprasidone and olanzapine i.m. both has less metabolic syndrome effect.and used in er <allcaps> for acute agitation,0
do you know what medications are r for bipolar depression? currently  fda  approved lamotrigine aka <allcaps> <hashtag> lamictal,0
lawwwd <elong> that'll always be better than trazodone,0
fun facts: do you know what medications are <number> bipolar depression? currently  fda  approve combination of <hashtag> olanzapine &amp; <hashtag> fluoxetine,0
"“<user>: <user> lol. <repeat> blow, heroin, zoloft , trazodone, adderall, nexium  dilaudid . <repeat> shes a walking pharmacy” that's my girl.",0
<hashtag> كيف_تتخلص_من_الاكتئاب جرب venlafaxine,0
<user> f u.i wanted city to retain their title.you can now start your trazodone infusion to solve your <hashtag> rvpvolley priapism.,0
"<user> takes years to recognise signs, and double dose of quetiapine, im allowed to up and down meds as an when <smile>",0
"<user> i'd forgotten about the quetiapine, i was going to ask if you were listening to <user> before bed.",0
fluoxetine <allcaps> is <allcaps> foxy <allcaps>-time <allcaps>,0
<user> my dx feb<number> invasive lobular ca <allcaps> rt side. chemo / rads / arimidex. now stable on tamoxifen / ibandronate. morphine patches rock!,0
medical professionals on my feed. <repeat>any thing i need to know about this me<smile> lamotrigine. it's being used to treat bipolar teen.,0
"<user> <user> me i take pretty strong doses of: fluoxetine, lithium, and seroquel",0
"☝ medical student died after taking banned weight loss drug bought online: she was prescribed anti-depressant fluoxetine, but had bee. <repeat>",0
"fluoxetine, do yo thang",0
trazodone <allcaps> is <allcaps> nasty <allcaps> as <allcaps> fuck <allcaps> when <allcaps> it <allcaps> touches <allcaps> your <allcaps> tongue <allcaps>,0
my mom has had me on trazodone for <number> nights now and the side effects are fucking weird. <repeat>,0
ciprofloxacin: how do you expect to sleep when your stomach is a cement mixer?,1
"someone up here who takes ""fluoxetine"" antidepressiva? i already have <number> grams a day, but i'll probably get more. any experiences?",0
"<user> i clock in at <number> stone (added <number> stone since quetiapine) and according to that bmi <allcaps> thing i'm obese, which i'm clearly not.",1
"<user> no, dosage of the thing that regulates moods and hot flashes. venlafaxine.",0
fun facts: do you know what meds are r for mania? currently  fda  approve<smile> <hashtag> quetiapine aka <allcaps> <hashtag> seroquel,0
ciprofloxacin can be used in pediatric patients but with caution <allcaps>. but not in &lt;<number>year old. <hashtag> epharmdupdate,0
fun facts: do you know what meds are <number> bipolar depression? currently  fda  approve combination of <hashtag> olanzapine &amp; <hashtag> fluoxetine,0
"<user> why so little sleep? all that bbq <allcaps> / craft beer hunting and work? give me a trazodone, and i'll come out of my coma around noon.",0
gonna lay down and try to get some sleep.  i really need to start taking my trazodone to sleep.  i kinda hate taking something that knocks,0
i ate <number> cakes + <number> pastries at work today. blaming the quetiapine rather than my liking for cakes. blaming work too for providing free cake.,1
<user> q makes me hungry. olanzapine made me want to eat my own arm!,1
anyone ever try trazodone?,0
<user> they arrived! <hashtag> quittingcigs <hashtag> nicotine <hashtag> lozenge <url>,0
<user> aww! well thank god for abilify in my case. <repeat> olanzapine and fluoxetine really fucked me up before hahaha,0
"<user> alright. <repeat> i'll prescribe you fluoxetine,. maybe throw in some buspirone?",0
"<user> ciprofloxacin ophthalmic for bacterial, caused by the common cold and shit.",0
"when the doctor says to start taking your medication again.
hello ~lexapro, topamax, &amp; trazodone",0
<user>  <elong>he has me on ciprofloxacin  and phenazopyride  <elong>i had severe pain  that started over the weekend when trying to use,1
but i don't want to take an ambien or trazodone or anything because i dint wanna restart my dependence upon them,1
<user> yea right. it's the calm before the storm. either that or the fluoxetine in the water is beginning to work.,0
whoa quetiapine stop making me feel drowsy yo,1
"told them my medication runs out this week and isnt on repeat, which really bugs me, with it being lamotrigine i cant exactly go the weekend",0
are there any good quality studies comparing venlafaxine and fluoxetine?,0
haven't been with this team a month and i've been let down again &amp; again. supposed to be going up on the lamotrigine but nope not happening,0
lyrically i'm dope enough to ass fuck the dude who made nicotine,0
"hey, <user>! not sure how plausible it is geographically, but you should get <user> on wtf <allcaps>. do iit. payment in nicotine lozenges.",0
medications approved for men: risedronate and alendronate,0
"alendronate - hip, vertebral and non-vertebral; boniva - vertebral; actonel- hip, vertebral and non-vertebral; ibandronate- increases bmd <allcaps>",0
<user> well done! <repeat> i feel positive too as ive been off fluoxetine for over <number> mths!,0
my mood swings are getting worse and lamotrigine isn't helping at all.…,1
"<user> i am on <number>mg of quetiapine daily, and have been for many years.",0
"wellbutrin, zyprexa, xanax, effexor, lamotrigine, valium. every day. i'm not even a person anymore.
i'm a parody of an actual human being.",0
which wine goes well with a nicotine lozenge?,0
nicotine lozenges are giving me stomach cramps.,1
"oh ffs, i keep losing one pack of lamotrigine, and i need one of each &gt;:c *throws stuff about*",0
"even worse. think venlafaxine &amp; morphine in an unpredictable ratio. rt <allcaps> <user>: <user> don't forget tramadol, the other opioid.",0
<user> not everyone gains wt when they quit. some meds that help you quit (zyban &amp; nicotine lozenge) prevent wt gain.<hashtag> quitsmoking,0
"am i prepared for my spend the night party at rbd <allcaps>?
vyvanse. <repeat>check
caffeine. <repeat>check
nicotine . <repeat>check
an endless amount of work. <repeat>check",0
"<user> in ten minutes i'm popping a trazodone so after that i don't promise anything like, revolutionary",0
"<user> finals week consists of the <number> -ine's: caffeine, nicotine, and amphetamine.",0
"<user> i used to, i went on fluoxetine (antidepressants) for a bit but my mum was worried they would make me suicidal so i had to stop",0
"<user> <user> oh god. she needs a daily dose of <number> mg of venlafaxine for two weeks, administered orally not a word ellie.",0
"“<user>:quinolones [and fluoroquinolones]:mechanism
""topple the queen"":quinolone interferes with topoisomerase ii <allcaps>.”eg. ciprofloxacin",0
<user> fluoxetine is shit! why are you on quetiapine?x <elong>,0
<user> yeah fluoxetine <number>mg once daily dose. <repeat><smile> me alrdy started. <repeat>,0
<user> no <elong>. just the lozenges and sprays. nicotine increases metabolic rate. *drinks double cream*,0
"<user> long as i'm on quetiapine. but the med works and makes me balanced, so what's a girl to do <sadface>",0
<user> i do! <smile> well mines is called fluoxetine but its just another name for it! <smile> i've had no problems or side effects at all!,0
"<user>, so i guess trazodone, or other psychiatric drugs are not as common either. <repeat>",0
a whole lotta trazodone,0
primadol and levofloxacin again zz <sadface>,0
tonight has been brought to you by ciprofloxacin and hydrocodone.,0
on <number> march <number> eli lilly successfully defended the validity of its patent on zyprexa (olanzapine) against a wide-ranging attack by apotex,0
bliss- otz <allcaps> bolus mfg <allcaps> by <allcaps>: aimco <allcaps> pharma <allcaps> mfg <allcaps>.co <allcaps>.ofloxacin <number> mg / tinidazole <number> mg<number> bolus strip,0
"hey there kraken this is trazodone, trazodone meet kraken and his friend sleepy time.",0
lecturer has spelled olanzapine three different ways in the space of two slides <hashtag> olazapine <hashtag> olanzepine <hashtag> closebutnocigar,0
"well, lamotrigine's sorted. although my gp <allcaps> won't increase my citalopram till i get permission from the pysch :c",0
"journal articles

fulminant hepatic failure in association with quetiapine
journal of medical case reports, april <number> <number>",0
i've been feeling good all week.  i'm taking <number>mg of wellbutrin and abilify in the morning and <number>mg of wellburtin and trazodone at night.,0
<user> <user> nah i don't buy nicotine,0
"<user> lamotrigine is a one-two anti-epileptic and mood stabilizer. i'm on a high dose for bpi <allcaps>, but a low dose for other brain cooties",0
"memantine add-on to risperidone for treatment of negative symptoms in patients with stable schizophrenia: randomized, double-blind,. <repeat>",0
<user> i call them fluoxetine and diazepam. i'll tell you all about them in about <number> weeks,0
<user> fluoxetine a generic equivalent for prozac and  trazodone,0
rt <allcaps> <user> <hashtag> wisewords this is me on drugs.: welcome. i'm starting up with lamotrigine (another name for lamictol) to. <repeat> <url>. <repeat>,0
i just took fluoxetine while watching lakers self-destruct <hashtag> depression,0
"<user> can reducing fluoxetine zap me of all energy?i've reduced from a high dose, now on standard does &amp; not feeling good at all.",1
"<user> meds can be a life changer, i'm telling you! <repeat> i was put on quetiapine recently and it has helped loads <allcaps>. try it x",0
"lemsip is the vilest medication ever, except maybe liquid fluoxetine <hashtag> fullofcold",0
"fluoxetine""<user>: news to me. which one in particular? rt <allcaps> <user>: wait. ssri <allcaps>s relieve pms <allcaps> symptoms? :o :o""",0
<user> lamotrigine! what about you? xx,0
"<user> venlafaxine gave me horrendous nightmares, &amp; coming of it was horrific! <repeat>",1
<user> work must be hard if you're snapchatting trazodone pyramids. <repeat> <hashtag> cvs <hashtag> wittycray,0
just sucked on a nicotine lozenge thinking it was a cough drop,0
<user> aye and the kennel's called fluoxetine!,0
<user> yep. i loved fluoxetine from the start.,0
it's not even <number>pm and i'm already feeling the venlafaxine withdrawal. stupid bitch. how hard is it to pack the bloody tablets! <repeat>,1
"want to quit <hashtag> smoking? try nicotine replacement therapy like gum, lozenges &amp; patches to help end your cravings  olw ",0
"<user> i have literally been weaned off fluoxetine,(prozac),the last few weeks and am learning to cope without now. was on them <number> <number>mnths",0
who wants <number> buy nicotine lozenges frum me! <repeat> all the high of a cigarette without the smoke! <repeat>,0
"oh, forgot <number>x trazodone a day, so <number> pills",0
and some more fluoxetine.,0
<user> anyone with recent experience of taking keppra with lamotrigine? if so what side effects do you suffer? <repeat>,0
"survived the non-venlafaxine disaster with diazepam. home now, thank fuck, with the medication &amp; some zop imbibed. should be ok <allcaps>ish tomorrow.",0
"if i hadn <allcaps>’t got the venlafaxine, tomorrow would have been beyond <allcaps> a disaster. that stuff is insidious &amp; cruel. but sadly necessary <sadface>",0
<user> i'm just wondering how much quetiapine i can take in one go to knock me out? <repeat>,0
so happy im prescribed trazodone 😴,0
"popped a trazodone, i'm sleepin! 😴",0
<user> <user>  lol well that beats having a headache. probably more to do with the fluoxetine in the water supply.,0
rt <allcaps> <user>: antibiotic levels in nature: ciprofloxacin concentration in hospital sewage (<number> - <number> ng / ml<smile> municipal sewage (<number> - <number> ng / ml),0
the smell of my lamotrigine makes me want to throw up this is fucking ridiculous,0
<hashtag> lodise the role of the <hashtag> ciprofloxacin and <hashtag> rifampicin in the management of ortho non-mrsa <allcaps> infections <hashtag> eccmid <allcaps><number> <url>,0
<user> <user> in my humble opinion the only reason for prescribing olanzapine is sedation.,0
"<user> melatonin is often incorrectly prescribed. try trazodone. cheaper. non-addictive. prevents ""thought cycles"" that inhibit sleep.",0
the one bummer about it all is that the fluoxetine is giving me the shakes which made fine fiddly detail work harder than it should be,1
"bettaney. 

some time earlier. <number>am. 

<number><number> lower marsh street
london se <allcaps><number> <number>rj <allcaps>
olanzapine. (disorientated) arranges face.",0
"hehe, trazodone is sometimes called trazobone <allcaps> because of its priapism effects. <hashtag> medschool <hashtag> pharmacology <hashtag> mature",0
my gp <allcaps> should write on the venlafaxine prescription avoid <hashtag> thevillage.,0
"depression: ssri <allcaps>. <repeat> fluoxetine (anorexia, stimulating), fluvoxamine (nausea, constipation, sedation), paroxetine (antichol, weight gain, sex)",0
"antipsychotics: quetiapine (sedation<smile> olanzapine, risperidone, aripiprazole, lithium as augmenting agent",0
thank you lord i do have another trazodone! good night.,0
"<user> (commercial announcer voice) ask your doctor about trazodone! real gentle, won't knock you out, but it lets you stay asleep.",0
<number>mg fluoxetine in me nigga,0
"when i can't sleep i start to list the drugs i know in alphabetical order - abciximab, acamprosate, alendronate, z <elong>(olpidem, opiclone). <repeat>",0
slutty fluoxetine,0
"levofloxacin, salbutamol + gf <allcaps>, and rest. <repeat> <sadface> sickly me. t_t",0
<hashtag> teaminsomnia guess i should take this trazodone the dr <allcaps>. gave me . <repeat> hate prescriptions . <repeat> but need sleep😴😴😴,0
"lol <allcaps> no <allcaps>. none are anti-psychotics. dextromethorphan is robitussin, clonazepam is for anxiety like xanax, and fluoxetine is prozac. wtf <allcaps> fringe <allcaps>",0
"<user> because i'm <number> compose my own beats lyrically, i'm dope enough to ass fuck the dude who made nicotine",0
"<user> i am on fluoxetine and it has helped with coping with stuff, i am a little worried about what happens when i come of them though",0
"<user> haha. your geekiness is contagious, i must resist. no. but yeah, perhaps an ssri <allcaps>. fluoxetine? side effects aren't great. <repeat>",0
yuck. nicotine lozenges make your mouth feel like you're sucking on a battery. <hashtag> me,0
trazodone really knocks you the fuck out.,0
"rt <allcaps> <user> elliot fund j rexer: ""bt <allcaps> patients on memantine show inc'd cognitive ability"" <hashtag> braintumorthursday <hashtag> sno <allcaps><number> <hashtag> braincanceractionweek",0
anyone taking lamotrigine suffer with headaches weeks after starting the med?,1
"i can't wait for the drug disposal day in my city. i took the freaking trazodone by mistake again and if the problem doesn't go away, er <allcaps> <neutralface>",0
<user> trazodone is a sleeping pill,0
"<user> that's what i said last time, and the fucker gave me quetiapine!",0
"yeah she took <number> mg of trazodone, yeah, good night, see you sometime tomorrow. <repeat>",0
"running off vyvanse, monster, coffee, diet coke, &amp; nicotine. relate<smile> i have pissed out <number>% of the <number>% of the water that i am composed of.",0
zoledronic acid linked to early increase in sclerostin levels: (healthday)—women with postmenopausal osteoporosis treated with zoledr. <repeat>,0
fun facts: do you know what medications are <number> bipolar depression? currently  fda  approve combo of <hashtag> olanzapine &amp; <hashtag> fluoxetine,0
my mum is offering me nicotine lozenges. <repeat> bitch fuck off manz needs a fag,0
do u know what medications are r for bipolar depression? currently  fda  approved lamotrigine aka <allcaps> <hashtag> lamictal,0
<user> what's are you're thoughts on venlafaxine ?,0
"<user> if i'm talking <number>a little pen,then i certainly need highest dose of quetiapine!😆😂
u r so dear <number>me o'pen! can't live without u",0
<user> sertraline. i would say venlafaxine but you *must* be observed while on it.,0
<user> venlafaxine. it's the best so far but all ssri <allcaps> / snri <allcaps> meds carry the suicide risk.,0
"for those who missed my saturday query? anyone on venlafaxine (in guatemala, btw)? got me some questions.",0
<user> now that i'm on a hefty dose of quetiapine i usually sleep no problem. yet the anxiety remains. a hangover from the days when. <repeat>,0
<user> that's the stupid thing. i sleep fine on <number>mg quetiapine. i very rarely struggle to sleep. so there's nothing to <allcaps> fear <neutralface>,0
"*shudder* fluoxetine, you taste horrible <allcaps>.",0
"<user> i see, i'm not sure what they all are tbh. i'm on quetiapine, citalopram, ameprozole and melatonin<sadface>",0
<user> were on the same meds haha serequol and quetiapine are the same thing<lolface>,0
<user> they are the same <smile>  salipax and prozac are trade names for the generic fluoxetine.,0
trazodone <allcaps> <number>mg <allcaps> at <allcaps> bedtime <allcaps>  paroxetine <allcaps> <number>mg <allcaps> megzydus <allcaps>  mth <allcaps> daily <allcaps>  citalopram <allcaps> <number>mg <allcaps>  july <allcaps><number>  needd <allcaps> breynoso <allcaps>  md <allcaps> a miller <allcaps> cc <allcaps> / file <allcaps>  str <allcaps> emt <allcaps>  . <repeat>,0
